LOCALIDAD_CODE,DEPARTAMENTO,size,DPTOLOC_COD,LOC_NOMBRE,DPTO_CODIGO,DPTO_NOMBRE,LAT,LON
01020,01,1287452,01020,MONTEVIDEO,01,Montevideo,-34.9058916,-56.1913095
15120,15,114084,15120,SALTO,15,Salto,-31.38889,-57.9608876
10020,10,102000,10020,MALDONADO,10,Maldonado,-34.9087162,-54.9582718
13020,13,84775,13020,RIVERA,13,Rivera,-30.900058,-55.5408151
11120,11,81550,11120,PAYSANDU,11,Paysandú,-32.3217257,-58.0892136
03221,03,61306,03221,LAS PIEDRAS,03,Canelones,-34.7274904,-56.2164982
18020,18,60586,18020,TACUAREMBO,18,Tacuarembó,-31.7110183,-55.9788762
04020,04,56013,04020,MELO,04,Cerro Largo,-32.3680849,-54.1697146
02020,02,43894,02020,ARTIGAS,02,Artigas,-30.3984136,-56.4638078
17220,17,43543,17220,MERCEDES,17,Soriano,-33.2484204,-58.0298671
06020,06,40279,06020,DURAZNO,06,Durazno,-33.3801247,-56.5224986
03900,03,39212,03900,RURAL/PARAJE RURAL,03,Canelones,,
09220,09,38645,09220,MINAS,09,Lavalleja,-34.3773987,-55.2382144
16220,16,38553,16220,SAN JOSE DE MAYO,16,San José,-34.3396521,-56.7143155
16021,16,38249,16021,CIUDAD DEL PLATA,16,San José,-34.7515308,-56.4205752
08220,08,36471,08220,FLORIDA,08,Florida,-34.101363,-56.214752
03521,03,35660,03521,BARROS BLANCOS,03,Canelones,-34.7520226,-56.0002807
05320,05,32174,05320,COLONIA DEL SACRAMENTO,05,Colonia,-34.4698592,-57.8433679
03322,03,31191,03322,PANDO,03,Canelones,-34.721323,-55.959447
10321,10,30293,10321,SAN CARLOS,10,Maldonado,-34.7920447,-54.9207502
03828,03,27190,03828,EL PINAR,03,Canelones,-34.7968981,-55.9076688
12320,12,26967,12320,FRAY BENTOS,12,Río Negro,-33.1165167,-58.3130977
14320,14,26784,14320,ROCHA,14,Rocha,-34.4810095,-54.3365608
19220,19,25890,19220,TREINTA Y TRES,19,Treinta y Tres,-33.2315713,-54.3862595
03320,03,24185,03320,CANELONES,03,Canelones,-34.5242373,-56.2817519
07320,07,22893,07320,TRINIDAD,07,Flores,-33.5173479,-56.8979718
03343,03,22592,03343,18 DE MAYO,03,Canelones,-34.6933845,-56.220872
03953,03,22525,03953,LOMAS DE SOLYMAR,03,Canelones,-34.817821,-55.9440644
03732,03,22340,03732,SOLYMAR,03,Canelones,-34.8248489,-55.9707288
05321,05,19915,05321,CARMELO,05,Colonia,-33.9967827,-58.2836485
03321,03,19132,03321,LA PAZ,03,Canelones,-34.7632648,-56.2236965
17321,17,18447,17321,DOLORES,17,Soriano,-33.5300696,-58.2170674
10021,10,18193,10021,PUNTA DEL ESTE,10,Maldonado,-34.9632342,-54.9439981
12421,12,17814,12421,YOUNG,12,Río Negro,-32.6995318,-57.6341992
03024,03,17586,03024,PASO CARRASCO,03,Canelones,-34.8621152,-56.0525006
03323,03,17381,03323,SANTA LUCIA,03,Canelones,-34.4550929,-56.3893012
04522,04,17379,04522,RIO BRANCO,04,Cerro Largo,-32.588689,-53.3780831
02021,02,16166,02021,BELLA UNION,02,Artigas,-30.2612301,-57.6059002
01900,01,15132,01900,RURAL/PARAJE RURAL,01,Montevideo,,
18321,18,14210,18321,PASO DE LOS TOROS,18,Tacuarembó,-32.8108095,-56.5174948
14521,14,13538,14521,CHUY,14,Rocha,-33.6937948,-53.4561114
03627,03,13142,03627,PARQUE DEL PLATA,03,Canelones,-34.765726,-55.7179432
16421,16,12971,16421,LIBERTAD,16,San José,-34.6310156,-56.6164899
05323,05,12397,05323,JUAN LACAZE,05,Colonia,-34.434266,-57.4380432
16900,16,12203,16900,RURAL/PARAJE RURAL,16,San José,,
10523,10,12150,10523,PIRIAPOLIS,10,Maldonado,-34.8689037,-55.2724472
05421,05,11740,05421,NUEVA HELVECIA,05,Colonia,-34.2849689,-57.2336726
03729,03,11700,03729,SALINAS,03,Canelones,-34.7818023,-55.8370115
03523,03,11582,03523,COLONIA NICOLICH,03,Canelones,-34.8173358,-56.0209729
03421,03,11540,03421,PROGRESO,03,Canelones,-34.6798644,-56.2154727
05900,05,11045,05900,RURAL/PARAJE RURAL,05,Colonia,,
05423,05,10775,05423,NUEVA PALMIRA,05,Colonia,-33.8710911,-58.4068884
03529,03,10609,03529,VILLA CRESPO Y SAN ANDRES,03,Canelones,-34.7413732,-56.1087333
05422,05,10584,05422,ROSARIO,05,Colonia,-34.3115588,-57.3512918
11522,11,10170,11522,NUEVO PAYSANDU,11,Paysandú,-32.2702086,-58.0837759
03530,03,9560,03530,FRACC. CNO. ANDALUZ Y R.84,03,Canelones,,
03727,03,9171,03727,PARQUE CARRASCO,03,Canelones,-34.8543879,-56.0110042
03959,03,9146,03959,NEPTUNIA,03,Canelones,-34.788026,-55.8718706
03831,03,8835,03831,LAGOMAR,03,Canelones,-34.8357436,-55.9847029
03830,03,8727,03830,PINAMAR - PINEPARK,03,Canelones,,
03633,03,8535,03633,SAN JOSE DE CARRASCO,03,Canelones,-34.8386788,-55.9970798
03524,03,8353,03524,JOAQUIN SUAREZ,03,Canelones,-34.7355165,-56.0350642
03621,03,8139,03621,ATLANTIDA,03,Canelones,-34.7743888,-55.7605883
13522,13,7743,13522,TRANQUERAS,13,Rivera,-31.1939884,-55.7649238
14421,14,7715,14421,CASTILLOS,14,Rocha,-34.2003023,-53.8608364
06421,06,7700,06421,SARANDI DEL YI,06,Durazno,-33.3442144,-55.6313253
19956,19,7692,19956,EJIDO DE TREINTA Y TRES,19,Treinta y Tres,,
10522,10,7620,10522,PAN DE AZUCAR,10,Maldonado,-34.7755603,-55.224032
18900,18,7589,18900,RURAL/PARAJE RURAL,18,Tacuarembó,,
14422,14,7572,14422,LASCANO,14,Rocha,-33.6738454,-54.2078542
08900,08,7492,08900,RURAL/PARAJE RURAL,08,Florida,,
03527,03,7446,03527,SAUCE,03,Canelones,-34.6496661,-56.0649654
15900,15,7429,15900,RURAL/PARAJE RURAL,15,Salto,,
03422,03,7356,03422,SAN RAMON,03,Canelones,-34.2900689,-55.9574463
05522,05,7269,05522,TARARIRAS,05,Colonia,-34.2648285,-57.6143416
08421,08,6827,08421,SARANDI GRANDE,08,Florida,-33.7228206,-56.3273963
03722,03,6559,03722,BARRA DE CARRASCO,03,Canelones,-34.8686988,-56.0287292
03631,03,6520,03631,TOLEDO,03,Canelones,-34.7398043,-56.0892924
14722,14,5939,14722,LA PALOMA,14,Rocha,-34.6631811,-54.155092
03528,03,5779,03528,TALA,03,Canelones,-34.3442958,-55.7617585
11521,11,5762,11521,GUICHON,11,Paysandú,-32.3603815,-57.2002983
10900,10,5618,10900,RURAL/PARAJE RURAL,10,Maldonado,,
03629,03,5586,03629,SAN JACINTO,03,Canelones,-34.5435855,-55.8710299
03726,03,5425,03726,LAS TOSCAS,03,Canelones,-34.7730052,-55.7387989
09522,09,5401,09522,JOSE PEDRO VARELA,09,Lavalleja,-33.4564695,-54.5353454
03957,03,5359,03957,MARINDIA,03,Canelones,-34.7742852,-55.8266887
09900,09,5299,09900,RURAL/PARAJE RURAL,09,Lavalleja,,
13900,13,5246,13900,RURAL/PARAJE RURAL,13,Rivera,,
17521,17,5186,17521,CARDONA,17,Soriano,-33.8707543,-57.3671369
04900,04,5051,04900,RURAL/PARAJE RURAL,04,Cerro Largo,,
17900,17,4986,17900,RURAL/PARAJE RURAL,17,Soriano,,
11951,11,4963,11951,CHACRAS DE PAYSANDU,11,Paysandú,-32.3438623,-58.0086687
03625,03,4921,03625,EMPALME OLMOS,03,Canelones,-34.6954579,-55.8948676
11900,11,4662,11900,RURAL/PARAJE RURAL,11,Paysandú,,
10973,10,4612,10973,BALNEARIO BUENOS AIRES,10,Maldonado,-34.8874624,-54.793618
10944,10,4592,10944,LA CAPUERA,10,Maldonado,-34.8525158,-55.1276144
03733,03,4434,03733,VILLA AEROPARQUE,03,Canelones,-34.7920216,-55.9958459
03526,03,4242,03526,SANTA ROSA,03,Canelones,-34.4982333,-56.040947
14900,14,4170,14900,RURAL/PARAJE RURAL,14,Rocha,,
05621,05,4135,05621,COLONIA VALDENSE,05,Colonia,-34.3400221,-57.2628055
06900,06,4011,06900,RURAL/PARAJE RURAL,06,Durazno,,
19522,19,3960,19522,VERGARA,19,Treinta y Tres,-32.9376731,-53.9377544
13621,13,3919,13621,VICHADERO,13,Rivera,-31.7789553,-54.6923583
18521,18,3899,18521,SAN GREGORIO DE POLANCO,18,Tacuarembó,-32.6180516,-55.8345547
05622,05,3879,05622,FLORENCIO SANCHEZ,05,Colonia,-33.8763719,-57.3703478
03834,03,3847,03834,SAN LUIS,03,Canelones,-34.7677166,-55.5903314
12900,12,3690,12900,RURAL/PARAJE RURAL,12,Río Negro,,
05521,05,3665,05521,OMBUES DE LAVALLE,05,Colonia,-33.940575,-57.8083627
13521,13,3642,13521,MINAS DE CORRALES,13,Rivera,-31.5691608,-55.4730233
03835,03,3610,03835,SHANGRILA,03,Canelones,-34.8474788,-55.9979273
03624,03,3564,03624,LOS CERRILLOS,03,Canelones,-34.6071478,-56.3590339
02900,02,3460,02900,RURAL/PARAJE RURAL,02,Artigas,,
03987,03,3349,03987,COLINAS DE SOLYMAR,03,Canelones,-34.8030241,-55.9577666
10924,10,3322,10924,BARRIO HIPODROMO,10,Maldonado,-34.8615198,-54.9448254
04521,04,3294,04521,FRAILE MUERTO,04,Cerro Largo,-32.5132703,-54.5234426
09622,09,3244,09622,SOLIS DE MATAOJO,09,Lavalleja,-34.5991619,-55.4665676
16022,16,3181,16022,ECILDA PAULLIER,16,San José,-34.3606955,-57.0501049
03724,03,3146,03724,LA FLORESTA,03,Canelones,-34.7537689,-55.675739
16621,16,3100,16621,RODRIGUEZ,16,San José,-34.3806737,-56.539069
18722,18,2891,18722,ANSINA,18,Tacuarembó,-31.878069,-55.4625905
10936,10,2888,10936,EL TESORO,10,Maldonado,-34.9010525,-54.8683906
15523,15,2873,15523,CONSTITUCION,15,Salto,-31.0671956,-57.8493627
11621,11,2817,11621,QUEBRACHO,11,Paysandú,-31.9355644,-57.9005404
02522,02,2775,02522,TOMAS GOMENSORO,02,Artigas,-30.4304107,-57.435025
06521,06,2759,06521,CARMEN,06,Durazno,-33.2410373,-56.0131446
10521,10,2742,10521,AIGUA,10,Maldonado,-34.7891068,-55.3868058
08521,08,2742,08521,CASUPA,08,Florida,-34.1005881,-55.6514175
02621,02,2728,02621,BALTASAR BRUM,02,Artigas,-30.7201503,-57.3307941
08622,08,2701,08622,FRAY MARCOS,08,Florida,-34.1960802,-55.7395224
12621,12,2692,12621,NUEVO BERLIN,12,Río Negro,-32.9803448,-58.0569456
04721,04,2655,04721,ISIDORO NOBLIA,04,Cerro Largo,-31.9606382,-54.1228939
03626,03,2555,03626,MIGUES,03,Canelones,-34.4885052,-55.630224
11830,11,2533,11830,SAN FELIX,11,Paysandú,-32.3511177,-58.1016822
02830,02,2412,02830,PINTADITO,02,Artigas,-30.4337339,-56.457934
03622,03,2397,03622,ESTACION ATLANTIDA,03,Canelones,-34.7416189,-55.7629782
19900,19,2367,19900,RURAL/PARAJE RURAL,19,Treinta y Tres,,
19521,19,2347,19521,SANTA CLARA DE OLIMAR,19,Treinta y Tres,-32.9235413,-54.9444982
09521,09,2313,09521,JOSE BATLLE Y ORDO?ÂÑEZ,09,Lavalleja,,
17622,17,2218,17622,PALMITAS,17,Soriano,-33.5091893,-57.8006663
08624,08,2172,08624,25 DE MAYO,08,Florida,-34.1990928,-56.3426875
03628,03,2163,03628,SAN BAUTISTA,03,Canelones,-34.4410211,-55.9595114
03630,03,2094,03630,DR. FRANCISCO SOCA,03,Canelones,-34.6834361,-55.704475
17621,17,2070,17621,JOSE ENRIQUE RODO,17,Soriano,-33.6980493,-57.5320234
03730,03,2039,03730,SAN ANTONIO,03,Canelones,-34.4513014,-56.0802552
14962,14,2014,14962,PUNTA DEL DIABLO,14,Rocha,-34.0449102,-53.5398091
12622,12,1932,12622,SAN JAVIER,12,Río Negro,-32.6664272,-58.1330431
03632,03,1893,03632,MONTES,03,Canelones,-34.4927322,-55.561799
10022,10,1888,10022,PUNTA BALLENA,10,Maldonado,-34.8901438,-55.0401144
03910,03,1822,03910,CITY GOLF,03,Canelones,-34.7588209,-55.7735002
08623,08,1814,08623,25 DE AGOSTO,08,Florida,-34.4123302,-56.4001637
15522,15,1795,15522,BELEN,15,Salto,-30.789358,-57.7790732
03826,03,1776,03826,COSTA AZUL,03,Canelones,-34.7687842,-55.6567075
09621,09,1753,09621,MARISCALA,09,Lavalleja,-34.0418823,-54.7770375
07900,07,1718,07900,RURAL/PARAJE RURAL,07,Flores,,
03634,03,1705,03634,FRACC. SOBRE RUTA 74,03,Canelones,,
10953,10,1681,10953,PLAYA GRANDE,10,Maldonado,-34.845655,-55.2959105
14621,14,1665,14621,CEBOLLATI,14,Rocha,-33.2682531,-53.7960583
16821,16,1618,16821,PUNTAS DE VALDEZ,16,San José,-34.5858403,-56.7006824
